league_name,2009/2010,2010,2010/2011,2011,2011/2012,2012,2012/2013,2013,2013/2014,2014,2014/2015,2015,2015/2016,2016,2016/2017,2017,2017/2018,2018,2018/2019,2019,2019/2020,2020,2020/2021,2021,2021/2022,2022,2022/2023,2023,2023/2024,2024,2024/2025,2025,2026
Europe - UEFA Nations League - League B,,,,,,,,,,,,,,,,,,,,,,,27.08,,,,28.57,,,,18.75,,
Europe - UEFA Nations League - League C,,,,,,,,,,,,,,,,,,,,,,,33.33,,,,22.92,,,,22.92,,
Europe - UEFA Nations League - League D,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,11.11,,,,33.33,,
Europe - UEFA Super Cup,,,,,,,,,,,,,,,,,,,,,,0.0,,100.0,,0.0,,,100.0,,0.0,,
Europe - World Cup Qualification,,,,,,,,,,21.92,,,,,,,,17.78,,,,,,,,21.2,,,,,,,0.0
Faroe Islands - Premier League,,,,,,,,24.44,,23.7,,31.85,,20.0,,24.44,,15.56,,11.11,,14.81,,17.04,,17.04,,15.56,,12.59,,22.22,
Finland - Play-off,,,,,,,,,,,,,,,,,,,,,,100.0,,0.0,,25.0,,25.0,,,,,
Finland - Veikkausliiga,,24.18,,27.78,,20.71,,25.25,,28.28,,30.3,,26.26,,27.78,,26.26,,28.79,,25.0,,18.94,,23.48,,25.76,,25.0,,,
Finland - Ykkösliiga,,24.18,,19.87,,22.22,,26.67,,22.22,,21.48,,22.22,,26.47,,25.19,,20.0,,21.97,,26.52,,25.76,,26.52,,25.19,,,
France - CFA - Group A,,,,,,,,,,,,,,,,,,,,,28.57,,38.57,,29.58,,29.17,,37.36,,32.39,,
France - CFA - Group B,,,,,,,,,,,,,,,,,,,,,30.54,,31.88,,27.92,,23.75,,31.32,,31.03,,
France - CFA - Group C,,,,,,,,,,,,,,,,,,,,,29.09,,30.43,,28.75,,27.5,,21.98,,31.61,,
France - CFA - Group D,,,,,,,,,,,,,,,,,,,,,29.76,,37.14,,27.5,,30.0,,28.57,,,,
France - Coupe de France,,,,,,,22.22,,15.87,,15.87,,9.52,,4.76,,17.74,,12.7,,11.11,,20.63,,27.87,,30.26,,18.59,,24.37,,
France - Coupe de la Ligue,,,,,,,,,27.27,,30.0,,25.0,,41.67,,45.45,,25.0,,33.33,,,,,,,,,,,,
France - Ligue 1,25.53,,34.21,,28.42,,28.42,,28.68,,23.16,,28.42,,25.0,,25.26,,28.95,,25.09,,25.0,,26.84,,24.21,,26.47,,22.32,,
France - Ligue 2,33.16,,32.37,,31.58,,32.89,,32.37,,32.89,,32.11,,30.26,,22.89,,28.95,,30.0,,33.42,,27.89,,27.11,,28.68,,21.4,,
France - National,,,29.76,,28.16,,30.26,,32.68,,30.07,,35.95,,28.43,,36.03,,31.7,,28.83,,35.95,,26.14,,31.7,,26.47,,31.0,,
France - Play-off,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,50.0,,,,
France - Super Cup,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,
Georgia - Play-off,,,,,,,,,,,,,,,,,,,,,,25.0,,25.0,,0.0,,25.0,,75.0,,,
Georgia - Premier League,,,22.78,,21.97,,18.18,,19.7,,25.0,,22.5,23.81,,17.78,,23.89,,22.22,,32.22,,28.33,,26.11,,23.33,,27.22,,29.41,
Germany - 2. Bundesliga,23.53,,22.55,,29.74,,29.41,,28.76,,31.7,,28.1,,28.76,,29.08,,28.76,,32.03,,23.53,,28.1,,23.86,,23.2,,27.78,,
Germany - 3. Liga,,,26.58,,32.63,,28.16,,27.89,,25.26,,31.84,,28.68,,25.0,,28.68,,28.95,,28.42,,25.73,,23.42,,26.32,,26.3,,
Germany - Bundesliga,28.1,,20.59,,25.82,,25.49,,20.92,,26.8,,23.2,,24.18,,27.12,,23.86,,22.22,,26.47,,23.86,,24.51,,26.47,,23.5,,
Germany - DFB-Pokal,,,,,,,,,9.38,,21.88,,12.5,,21.88,,3.13,,3.13,,15.63,,6.25,,17.46,,9.52,,11.11,,5.0,,
Germany - Oberliga,,,,,,,,,,,,,,,,,,,,,,,,,33.33,,33.33,,0.0,,,,
Germany - Oberliga Baden-Württemberg,,,,,,,,,,,,,,,,,,,,,23.78,,23.44,,18.42,,22.22,,23.53,,17.07,,
Germany - Oberliga Bayern,,,,,,,,,,,,,,,,,,,,,,,,,33.33,,27.78,,22.22,,,,
Germany - Oberliga Bayern Nord,,,,,,,,,,,,,,,,,,,,,19.0,,,,15.03,,19.93,,20.82,,25.45,,
Germany - Oberliga Bayern Süd,,,,,,,,,,,,,,,,,,,,,23.21,,,,30.12,,23.86,,19.93,,21.65,,
Germany - Oberliga Bremen,,,,,,,,,,,,,,,,,,,,,15.66,,16.18,,13.07,,17.92,,12.08,,16.18,,
Germany - Oberliga Hamburg,,,,,,,,,,,,,,,,,,,,,20.0,,18.87,,17.9,,20.18,,20.26,,15.65,,
