league_name,2009/2010,2010,2010/2011,2011,2011/2012,2012,2012/2013,2013,2013/2014,2014,2014/2015,2015,2015/2016,2016,2016/2017,2017,2017/2018,2018,2018/2019,2019,2019/2020,2020,2020/2021,2021,2021/2022,2022,2022/2023,2023,2023/2024,2024,2024/2025,2025,2026
Germany - 3. Liga,,,47.11,,53.68,,47.89,,47.89,,51.32,,47.63,,46.84,,48.95,,50.79,,60.26,,54.47,,52.05,,57.89,,56.84,,60.9,,
Germany - Bundesliga,55.56,,55.56,,54.58,,56.54,,58.17,,49.35,,54.58,,54.9,,54.9,,59.48,,58.17,,60.13,,60.78,,59.15,,61.76,,56.84,,
Germany - DFB-Pokal,,,,,,,,,40.62,,56.25,,34.38,,56.25,,50.0,,62.5,,56.25,,46.88,,60.32,,42.86,,52.38,,48.33,,
Germany - Oberliga,,,,,,,,,,,,,,,,,,,,,,,,,66.67,,66.67,,50.0,,,,
Germany - Oberliga Baden-Württemberg,,,,,,,,,,,,,,,,,,,,,56.22,,57.03,,58.68,,62.75,,57.84,,53.66,,
Germany - Oberliga Bayern,,,,,,,,,,,,,,,,,,,,,,,,,33.33,,55.56,,66.67,,,,
Germany - Oberliga Bayern Nord,,,,,,,,,,,,,,,,,,,,,52.5,,,,53.27,,60.46,,62.76,,58.04,,
Germany - Oberliga Bayern Süd,,,,,,,,,,,,,,,,,,,,,64.14,,,,56.43,,58.82,,54.9,,49.48,,
Germany - Oberliga Bremen,,,,,,,,,,,,,,,,,,,,,68.07,,70.59,,65.69,,70.42,,72.5,,76.3,,
Germany - Oberliga Hamburg,,,,,,,,,,,,,,,,,,,,,69.55,,71.7,,68.52,,63.16,,66.34,,66.52,,
Germany - Oberliga Hessen,,,,,,,,,,,,,,,,,,,,,62.81,,52.14,,63.64,,63.42,,58.5,,63.56,,
Germany - Oberliga Mittelrhein,,,,,,,,,,,,,,,,,,,,,55.56,,59.62,,57.19,,56.67,,51.9,,61.19,,
Germany - Oberliga Niederrhein,,,,,,,,,,,,,,,,,,,,,61.58,,61.32,,53.36,,60.0,,59.19,,59.9,,
Germany - Oberliga Niedersachsen,,,,,,,,,,,,,,,,,,,,,65.31,,53.66,,58.89,,61.76,,61.44,,63.81,,
Germany - Oberliga Nordost-Nord,,,,,,,,,,,,,,,,,,,,,53.69,,58.67,,52.2,,57.84,,64.29,,55.13,,
Germany - Oberliga Nordost-Süd,,,,,,,,,,,,,,,,,,,,,62.59,,47.5,,55.2,,52.61,,59.58,,64.1,,
Germany - Oberliga Rheinland-Pfalz / Saar,,,,,,,,,,,,,,,,,,,,,62.23,,56.0,,62.88,,53.64,,60.79,,61.62,,
Germany - Oberliga Schleswig-Holstein,,,,,,,,,,,,,,,,,,,,,71.61,,62.22,,57.48,,57.72,,65.0,,65.12,,
Germany - Oberliga Westfalen,,,,,,,,,,,,,,,,,,,,,59.89,,62.07,,53.81,,57.84,,58.5,,62.95,,
Germany - Play-off,,,,,,,,,,,,,,,,,,,,,50.0,,50.0,,0.0,,50.0,,100.0,,,,
Germany - Regionalliga,,,,,,,,,,,,,,,,,,,,,100.0,,0.0,,50.0,,50.0,,50.0,,,,
Germany - Regionalliga Bayern,,,,,,,53.68,,60.53,,54.25,,54.25,,56.21,,57.6,,57.52,,55.5,,,,53.95,,55.53,,51.96,,53.88,,
Germany - Regionalliga Nord,,,48.04,,54.25,,61.25,,55.88,,53.27,,52.29,,50.33,,54.25,,53.92,,56.4,,51.02,,54.5,,60.82,,56.86,,60.09,,
Germany - Regionalliga Nordost,,,,,,,50.42,,58.75,,47.5,,51.31,,52.61,,51.63,,47.39,,55.29,,64.46,,53.16,,50.0,,56.21,,51.14,,
Germany - Regionalliga Südwest,,,55.0,,56.54,,54.39,,48.69,,43.79,,45.75,,51.75,,56.14,,51.31,,50.25,,57.36,,47.66,,53.27,,55.88,,54.17,,
Germany - Regionalliga West,,,52.29,,54.39,,50.0,,52.92,,51.96,,54.39,,57.19,,53.27,,50.98,,52.89,,51.67,,51.58,,57.52,,56.21,,57.49,,
Germany - Super Cup,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,0.0,,100.0,,,
Ghana - Premier League,,,,,,,,,35.83,,,40.83,,38.33,,43.75,,42.24,,,44.36,,46.08,,40.2,,39.54,,36.6,,32.45,,
Greece - Beta Ethniki Notios,,,,,,,,,36.81,,33.97,,,,,,,,,,,,,,,,,,,,,,
Greece - Beta Ethniki Voreios,,,,,,,,,35.16,,30.77,,,,,,,,,,,,,,,,,,,,,,
Greece - Play-off,,,,,,,,,,,,,,,,,,,,,50.0,,50.0,,100.0,,,,,,,,
Greece - Super League,43.75,,42.5,,37.08,,39.17,,43.79,,41.18,,39.17,,40.0,,40.0,,37.5,,46.15,,41.76,,43.41,,38.46,,52.75,,47.8,,
Greece - Super League 2,,,36.93,,29.18,,34.52,,,,,,30.07,,35.93,,31.79,,35.56,,40.0,,35.61,,38.05,,35.97,,39.77,,41.11,,
Hungary - Nemzeti Bajnokság I,58.33,,58.75,,51.25,,53.33,,55.83,,41.25,,47.47,,54.55,,59.09,,51.52,,52.02,,57.07,,58.08,,56.06,,58.08,,54.86,,
Iceland - Úrvalsdeild Karla,,68.18,,67.42,,58.33,,63.64,,61.36,,52.27,,51.52,,63.64,,59.09,,65.91,,64.49,,46.97,,59.85,,59.09,,64.39,,,
India - I League,,,,,,,,,58.33,,52.73,,51.39,,,47.78,44.44,,61.47,,57.47,,43.64,,56.41,,50.76,,62.99,,53.57,,
India - Indian Super League,,,,,,,,,,44.64,,58.93,,51.79,,,52.22,,56.67,,58.89,,57.27,,63.64,,54.55,,53.79,,53.21,,
Indonesia - ISC A,,,,,,,,,,,,,,50.49,,,,,,,,,,,,,,,,,,,
Indonesia - Premier League,,,51.43,,53.03,,,34.64,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia - Super Liga,,,,,,,,,,49.55,,,,,,54.9,,53.27,,54.25,,57.69,,50.33,,,55.56,,62.75,,54.96,,
Iran - Premier League,,,51.31,,48.69,,45.75,,46.25,,49.58,,45.83,,46.25,,43.75,,42.08,,43.75,,43.33,,36.67,,38.33,,43.33,,36.26,,
Ireland - First Division,,,,44.85,,47.32,,48.21,,39.29,,48.21,,53.57,,45.54,,50.37,,50.0,,43.33,,51.11,,55.56,,52.78,,54.44,,43.48,
Ireland - Play-off,,,,,,,,,,,,,,,,,,,,,,,,33.33,,50.0,,80.0,,100.0,,,
Ireland - Premier League,,48.89,,43.33,,55.15,,48.48,,46.97,,46.46,,36.55,,52.02,,42.22,,36.11,,34.44,,55.0,,48.89,,45.56,,47.78,,55.17,
Israel - Liga Leumit,,,,,,,,,49.58,,49.58,,52.92,,49.58,,40.42,,50.83,,48.75,,41.25,,50.83,,45.0,,54.58,,49.11,,
Israel - Ligat Al,50.0,,46.25,,50.0,,48.9,,44.51,,48.9,,38.46,,39.01,,48.35,,49.45,,36.26,,38.46,,48.9,,48.9,,49.45,,50.55,,
Israel - Play-off,,,,,,,,,,,,,,,,,,,,,50.0,,0.0,,100.0,,0.0,,0.0,,,,
Italy - Coppa Italia,,,,,,,,,22.22,,38.89,,22.22,,72.22,,50.0,,27.78,,50.0,,66.67,,60.0,,60.0,,62.22,,60.0,,
Italy - Serie A,56.05,,49.74,,47.63,,51.05,,48.68,,56.32,,51.05,,57.63,,49.47,,53.42,,62.11,,59.74,,57.37,,50.26,,52.37,,52.76,,
Italy - Serie B,52.6,,52.6,,53.68,,54.76,,52.16,,49.78,,50.0,,49.35,,55.63,,57.6,,53.16,,50.26,,51.84,,49.21,,56.05,,52.67,,
Italy - Serie C,,,,,,,,,,,,,,,,,,,,,58.33,,50.0,,40.0,,50.0,,75.0,,,,
Italy - Serie C - Girone A,,,,,,,50.74,,48.33,,42.63,,45.42,,50.53,,46.78,,44.32,,55.43,,46.05,,48.42,,49.21,,45.79,,45.31,,
Italy - Serie C - Girone B,,,,,,,48.33,,44.49,,48.68,,47.06,,43.16,,49.02,,42.89,,48.31,,48.16,,48.68,,47.11,,47.37,,50.31,,
Italy - Serie C - Girone C,,,,,,,,,,,48.42,,45.1,,50.0,,45.03,,40.94,,47.67,,47.37,,47.37,,44.47,,47.37,,52.71,,
Italy - Serie C2 - Girone A,,,,,,,52.94,,53.92,,,,,,,,,,,,,,,,,,,,,,,,
Italy - Serie C2 - Girone B,,,,,,,48.37,,46.41,,,,,,,,,,,,,,,,,,,,,,,,
Italy - Super Cup,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,
Japan - J League,,55.23,,53.59,,55.23,,62.09,,46.08,,52.94,,49.67,,50.0,,52.29,,50.33,,55.23,,45.79,,49.02,,53.27,,53.16,,46.55,
Japan - J League 2,,,,,,,,,,50.87,,43.94,,51.08,,53.9,,48.27,,51.52,,48.27,,49.57,,51.08,,51.08,,48.16,,48.0,
Japan - Play-off,,,,,,,,,,,,,,,,,,,,,,,,,,75.0,,66.67,,33.33,,,
Kazakhstan - Super Liga,,,,,,,,46.97,,43.94,,39.39,,41.67,,47.98,,48.99,,42.42,,44.55,,48.35,,47.8,,53.85,,46.79,,35.71,
Kenya - Premier League,,,,,,,,,,39.58,,48.33,,43.33,,42.81,,43.46,48.04,,53.12,,47.43,,45.87,,41.78,,39.22,,43.72,,
Latvia - Virsliga,,42.96,,53.47,,45.56,,39.26,,43.33,,44.57,,38.39,,42.86,,40.18,,48.95,,47.41,,41.96,,48.33,,46.11,,46.67,,53.33,
Lithuania - A Liga,,46.67,,41.41,,41.67,,47.92,,43.89,,51.4,,46.43,,50.89,,39.29,,45.54,,46.67,,53.89,,45.0,,37.78,,43.33,,60.0,
Luxembourg - National Division,,,,,,,60.44,,46.15,,56.04,,54.4,,57.69,,64.84,,54.4,,63.87,,52.5,,51.25,,53.75,,60.0,,46.43,,
Malta - Premier Division,,,,,,,55.3,,56.82,,57.58,,49.24,,58.08,,46.7,,46.7,,55.0,,53.26,,60.61,,49.45,,40.11,,48.48,,
Mexico - Ascenso MX,,,,,,,,,54.29,,52.75,,60.0,,52.94,,50.0,,57.14,,50.55,,54.17,,54.41,,46.41,50.0,54.29,,52.38,,
Mexico - Liga MX,,,52.29,,60.78,,54.9,,56.21,,54.9,,62.09,,60.13,,54.9,,52.29,,56.73,,57.52,,45.1,,58.82,,56.21,,49.02,,
