league_name,2009/2010,2010,2010/2011,2011,2011/2012,2012,2012/2013,2013,2013/2014,2014,2014/2015,2015,2015/2016,2016,2016/2017,2017,2017/2018,2018,2018/2019,2019,2019/2020,2020,2020/2021,2021,2021/2022,2022,2022/2023,2023,2023/2024,2024,2024/2025,2025,2026
England - Isthmian League Premier Division,,,,,,,,,,,,,,,,,,,,,56.62,,67.74,,61.69,,58.44,,63.64,,59.11,,
England - League One,50.91,,50.0,,49.09,,46.01,,49.28,,50.36,,49.46,,48.37,,47.28,,51.63,,49.25,,47.1,,49.09,,46.92,,49.82,,48.64,,
England - League Two,48.91,,51.63,,48.37,,48.73,,42.57,,41.85,,50.72,,50.36,,49.28,,46.38,,48.64,,42.57,,45.29,,41.3,,56.16,,45.58,,
England - National League,45.26,,53.44,,52.72,,55.07,,50.91,,50.72,,48.19,,50.0,,47.1,,46.01,,51.0,,52.81,,49.6,,50.72,,55.43,,50.11,,
England - National League North,,,,,,,61.04,,59.52,,55.19,,54.33,,57.36,,57.79,,54.55,,54.44,,50.91,,50.87,,47.64,,50.91,,48.48,,
England - National League South,,,,,,,59.52,,54.11,,55.24,,56.93,,58.66,,56.49,,54.55,,56.72,,56.97,,56.9,,54.35,,54.17,,50.96,,
England - Northern Premier League Premier Division,,,,,,,,,,,,,,,,,,,,,60.0,,58.62,,46.97,,49.57,,64.05,,54.95,,
England - Southern League Premier Central,,,,,,,,,,,,,,,,,,,,,61.03,,57.83,,56.67,,58.01,,57.14,,53.28,,
England - Southern League Premier South,,,,,,,,,,,,,,,,,,,,,61.88,,57.14,,59.52,,64.07,,65.8,,57.07,,
Estonia - Meistriliiga,,61.11,,63.89,,55.0,,56.11,,61.67,,56.11,,63.89,,65.0,,76.67,,60.0,,56.43,,66.03,,54.44,,46.67,,57.78,,73.33,
Europe - European Championship,,,,,,48.33,,,,,,,,47.31,,,,,,,,61.6,,,,,,,,53.04,,,
Europe - UEFA Champions League,,,53.13,,45.83,,30.0,,75.0,,50.0,,62.5,,62.5,,40.0,,50.0,,56.25,,43.75,,0.0,,66.67,,100.0,,52.22,,
Europe - UEFA Europa Conference League,,,,,,,,,,,,,,,,,,,,,,,,,50.35,,45.62,,57.25,,50.39,,
Europe - UEFA Europa League,,,51.39,,57.64,,51.61,,43.42,,60.26,,48.04,,44.21,,52.0,,45.0,,54.26,,59.57,,63.89,,47.06,,64.71,,50.0,,
Europe - UEFA Nations League - League A,,,,,,,,,,,,,,,,,,,,,,,54.17,,,,45.83,,,,56.25,,
Europe - UEFA Nations League - League B,,,,,,,,,,,,,,,,,,,,,,,35.42,,,,47.62,,,,50.0,,
Europe - UEFA Nations League - League C,,,,,,,,,,,,,,,,,,,,,,,35.42,,,,45.83,,,,50.0,,
Europe - UEFA Nations League - League D,,,,,,,,,,,,,,,,,,,,,,,16.67,,,,44.44,,,,16.67,,
Europe - UEFA Super Cup,,,,,,,,,,,,,,,,,,,,,,100.0,,0.0,,0.0,,,0.0,,0.0,,
Europe - World Cup Qualification,,,,,,,,,,48.08,,,,,,,,52.59,,,,,,,,54.4,,,,,,,0.0
Faroe Islands - Premier League,,,,,,,,67.41,,60.74,,69.63,,57.78,,65.93,,60.74,,63.7,,65.93,,69.63,,62.22,,60.0,,69.63,,77.78,
Finland - Play-off,,,,,,,,,,,,,,,,,,,,,,0.0,,50.0,,75.0,,75.0,,,,,
Finland - Veikkausliiga,,54.4,,50.0,,49.49,,51.01,,44.44,,37.88,,41.41,,51.52,,44.44,,44.7,,53.03,,41.67,,55.3,,47.73,,62.12,,,
Finland - Ykkösliiga,,50.0,,52.56,,50.37,,48.89,,61.48,,51.85,,61.48,,56.62,,55.56,,62.96,,61.36,,51.52,,59.85,,50.76,,59.26,,,
