jan
jan
01-99-2021 16:00 ; UA Emirates >  UAE Pro League 2020/2021 ; Al Wasl - Shabab Al Ahli Club ; 2:2 (2:0) ;  ;  ;  ; 
jan
01-99-2021 17:00 ; FIFA >   Friendlies 2021 > January ; Cameroon - Uganda ; 1:1 (1:0) ; 13 ; 70 ; 7 ; 1
01-99-2021 14:00 ; Algeria >  Ligue 1 2020/2021 ; MC Alger - CS Constantine ; 1:0 (0:0) ; 59 ;  ; 26 ; 22
01-99-2021 13:30 ; Algeria >  Ligue 1 2020/2021 ; NA Hussein Dey - ES Sétif ; 0:1 (0:0) ; 66 ;  ; 26 ; 14
01-99-2021 13:25 ; Bahrain >  Premier League 2020/2021 ; Manama Club - Budaiya Club ; 1:0 (0:0) ;  ;  ;  ; 
01-99-2021 16:00 ; Bahrain >  Premier League 2020/2021 ; Al Najma - Al Ahli ; 0:1 (0:0) ;  ;  ;  ; 
01-99-2021 15:00 ; Egypt >  Premiership 2020/2021 ; Pyramids FC - El Entag El Harby ; 3:2 (1:1) ; 18 ; 45 ; 8 ; 11
01-99-2021 17:30 ; Egypt >  Premiership 2020/2021 ; Al Ahly SC - Wadi Degla SC ; 0:0 (0:0) ;  ;  ; 18 ; 2
01-99-2021 17:30 ; England >  Premier League 2020/2021 ; Everton FC - West Ham United ; 0:1 (0:0) ; 86 ;  ; 152 ; 2517
01-99-2021 20:00 ; England >  Premier League 2020/2021 ; Manchester United - Aston Villa ; 2:1 (1:0) ; 40 ; 58 ; 201 ; 3625
